,episode_reward,steps_taken,Success,average_running_reward
0,-102.80443454371161,848,False,
1,-102.80105919385095,649,False,
2,-201.80521512309514,408,False,
3,-102.8008112363593,733,False,
4,-201.80356627864964,443,False,
5,-102.80538358728084,831,False,
6,-3.8019429700917726,978,False,
7,1593.020319395062,2996,False,
8,-201.80581811898097,1692,False,
9,-201.80393360806838,1297,False,
10,-201.80091060039686,478,False,
11,1889.7365425536022,3915,False,
12,-201.80374039238555,348,False,
13,-102.80502389220632,1157,False,
14,444.7097369054444,1990,False,
15,-102.80097779051988,584,False,
16,194.1958391327988,1959,False,
17,-201.8045787560864,510,False,
18,-201.80384935439776,555,False,
19,-102.80518037822537,1017,False,
20,-102.80509084813689,1419,False,
21,-201.8038985065041,1988,False,
22,2490.4457059105257,3999,False,
23,-201.80300584109764,333,False,
24,-201.80223530374334,404,False,
25,-201.80155115337803,356,False,
26,147.91800461969353,411,False,
27,-201.80557065707023,330,False,
28,246.83794386291797,637,False,
29,-201.8021090496398,437,False,
30,-201.80254365306996,337,False,
31,-102.80103430445263,625,False,
32,-102.80335625229884,949,False,
33,-201.80546890094732,768,False,
34,-102.80068186901158,567,False,
35,-102.80094235102776,611,False,
36,95.19533012985067,1054,False,
37,-201.80098755797457,554,False,
38,-201.8001093057122,1593,False,
39,-102.80472969905207,1146,False,
40,-102.80196698945745,595,False,
41,794.618449827889,1771,False,
42,-201.80479521775658,497,False,
43,-102.80446697915227,607,False,
44,-102.80178858436581,843,False,
45,-201.80035814544615,402,False,
46,-102.80012540271953,1748,False,
47,-201.80418298869537,683,False,
48,246.84004836814344,1491,False,
49,-102.80459889641969,547,False,
50,-201.80112104439388,462,False,
51,147.76299781433454,472,False,
52,-201.804127783831,766,False,
53,-102.8034174021295,775,False,
54,-201.8015969853925,610,False,
55,147.70622342794877,1072,False,
56,246.91837569321362,980,False,
57,-3.804760711788589,1234,False,
58,-201.80031864168754,593,False,
59,-3.804823881863257,1047,False,
60,-102.80357194728194,717,False,
61,-102.80005337644225,982,False,
62,147.67071017893633,1087,False,
63,596.2667348987472,960,False,
64,-102.800597491476,781,False,
65,345.94221077656545,1186,False,
66,246.88320404574702,996,False,
67,-102.80115488276041,708,False,
68,-201.80086031145078,703,False,
69,-201.80090025354724,530,False,
70,-201.8051631099263,547,False,
71,345.7383494924125,1285,False,
72,-201.8039321439504,331,False,
73,247.05215153563847,545,False,
74,-201.80386093460785,746,False,
75,-201.8042760213706,632,False,
76,-102.80019886952896,867,False,
77,147.76366342020012,1527,False,
78,-3.8010845889855034,1587,False,
79,-102.80518638190173,1723,False,
80,-102.80112064729497,1547,False,
81,345.9095592633618,1733,False,
82,-102.80153451130677,732,False,
83,-201.80030789736276,1450,False,
84,-201.80347626433132,386,False,
85,-201.8009,338,False,
86,-201.80009381641366,1169,False,
87,147.86233741706505,492,False,
88,-102.80002869479955,1164,False,
89,-201.80303398683535,381,False,
90,-201.80024709114082,798,False,
91,-102.80066348884414,939,False,
92,-201.80100505600154,930,False,
93,-102.80011173457628,593,False,
94,-201.80556562556555,455,False,
95,-201.80226790327922,624,False,
96,497.4068549334686,1629,False,
97,147.90161800800945,1434,False,
98,-201.80412692565343,400,False,
99,147.8854379394719,1473,False,6.769908348618909
100,794.3478711484019,4748,False,15.741431405540043
101,247.05471950142842,901,False,19.23998919249284
102,95.19998625429344,1768,False,22.210041206266723
103,-201.80346798639232,1268,False,21.220014638766393
104,95.19654423309251,3003,False,24.190015743883816
105,95.19775058439035,2700,False,26.170047085600523
106,3287.8724745410227,5908,False,59.086791260711664
107,95.19548550323543,2814,False,44.10854292179339
108,-102.80240750408892,1867,False,45.09857702794232
109,1744.218334787128,2833,False,64.55879971189428
110,-201.8035599104323,1239,False,64.55877321879392
111,345.8767505764191,1591,False,49.12017529902209
112,1243.1478454431158,6391,False,63.5696911573771
113,-102.8047963315909,1890,False,63.56969343298325
114,-201.80144260313628,1144,False,57.10458163789745
115,497.2159897118685,1057,False,63.10475131292132
116,246.79951655176393,2156,False,63.63078808711098
117,-3.800328641734893,1857,False,65.61083058825449
118,-201.80154139231453,2800,False,65.61085366787533
119,-201.80073841361684,1005,False,64.62089808752141
120,-102.8005928060168,2554,False,64.62094306794262
121,-3.800402859543027,4623,False,66.60097802441223
122,1190.6859852237285,4821,False,53.603380817544256
123,-201.80323496262102,798,False,53.603378526329024
124,642.8589486161359,5527,False,62.04999036552781
125,-102.80046770330517,636,False,63.040001200028534
126,-102.80060013444638,574,False,60.53281515248714
127,-102.80462499999757,522,False,61.522824609057864
128,-3.8036411403641353,1309,False,59.01640875902503
129,-102.80481408664208,2520,False,60.006381708655006
130,-102.8021755515155,564,False,60.99638538967055
131,-201.80023701202379,2389,False,60.006393362594835
132,1045.0991554053553,8985,False,71.48541847917137
133,-201.802925,678,False,71.48544391818085
134,497.54012132640344,1311,False,77.488851950135
135,147.98974392369237,2489,False,79.9967588128822
